fan_id,age_group,household_type,distance_from_arena_bucket,preferred_ticket_segment,loyalty_status,games_attended_last_12_months,avg_ticket_spend,avg_concession_spend,avg_merchandise_spend,promotion_usage_rate,email_engagement_score,fan_value_score
865,18-24,Empty Nester,5-15 miles,Corporate Partner Allocation,Repeat Buyer,12,174.77,11.75,53.85,0.3085,0.7088,0.4401
866,25-34,Student,60+ miles,Group Sales,Corporate Guest,3,247.68,28.09,51.46,0.1281,0.7304,0.514
867,18-24,Single,5-15 miles,Family Pack,Corporate Guest,8,169.89,27.28,55.1,0.3951,0.329,0.4286
868,45-54,Empty Nester,<5 miles,Season Ticket,Casual Fan,2,113.74,9.36,44.89,0.4431,0.6908,0.3105
869,35-44,Student,30-60 miles,Premium Courtside,Season Ticket Holder,39,265.89,41.49,11.23,0.494,0.7324,0.6549
870,55-64,Empty Nester,5-15 miles,Student Promo,Casual Fan,7,115.12,24.37,51.4,0.401,0.6853,0.3998
871,25-34,Corporate,<5 miles,Corporate Partner Allocation,Casual Fan,4,110.63,28.24,52.87,0.5923,0.6068,0.3799
872,35-44,Empty Nester,5-15 miles,Upper Bowl,New Fan,1,76.76,19.22,59.08,0.3319,0.7378,0.3466
873,65+,Family with Kids,5-15 miles,Premium Courtside,Premium Member,23,286.22,43.12,23.0,0.1803,0.5034,0.613
874,45-54,Empty Nester,5-15 miles,Club Level,Premium Member,29,284.0,27.5,17.75,0.263,0.0747,0.5316
875,45-54,Corporate,60+ miles,Upper Bowl,Season Ticket Holder,37,196.22,39.14,46.39,0.0571,0.1243,0.6101
876,25-34,Corporate,15-30 miles,Club Level,Corporate Guest,8,160.85,40.93,76.75,0.3406,0.1625,0.4937
877,18-24,Family with Kids,60+ miles,Corporate Partner Allocation,Repeat Buyer,8,120.32,35.75,29.22,0.4579,0.2901,0.3627
878,18-24,Couple,15-30 miles,Corporate Partner Allocation,Casual Fan,7,55.35,13.45,68.16,0.164,0.2493,0.3166
879,25-34,Single,15-30 miles,Club Level,Repeat Buyer,14,132.68,37.16,8.58,0.3368,0.2435,0.3689
880,25-34,Single,15-30 miles,Corporate Partner Allocation,Repeat Buyer,12,96.45,37.12,29.55,0.3379,0.4215,0.3879
881,35-44,Corporate,<5 miles,Season Ticket,Season Ticket Holder,41,205.05,28.56,49.88,0.3592,0.6326,0.6435
882,65+,Corporate,15-30 miles,Group Sales,Premium Member,23,226.59,12.56,64.89,0.324,0.4864,0.5344
883,18-24,Empty Nester,30-60 miles,Group Sales,Repeat Buyer,13,82.69,24.69,52.39,0.5227,0.7999,0.4121
884,55-64,Single,60+ miles,Student Promo,Casual Fan,3,106.41,29.61,39.5,0.2492,0.4403,0.3517
885,55-64,Student,15-30 miles,Season Ticket,New Fan,3,66.01,43.9,25.27,0.7174,0.4391,0.3177
886,45-54,Single,30-60 miles,Club Level,Repeat Buyer,12,128.94,14.32,5.66,0.3309,0.5177,0.3024
887,35-44,Single,<5 miles,Group Sales,Casual Fan,6,74.27,35.13,41.46,0.207,0.504,0.3719
888,35-44,Student,15-30 miles,Season Ticket,Repeat Buyer,6,177.83,29.75,8.66,0.3119,0.4685,0.3642
889,18-24,Corporate,15-30 miles,Upper Bowl,Casual Fan,5,91.31,29.11,63.1,0.523,0.3582,0.3704
890,65+,Corporate,<5 miles,Premium Courtside,Season Ticket Holder,41,189.66,37.02,6.56,0.4339,0.525,0.564
891,35-44,Single,15-30 miles,Club Level,Corporate Guest,12,253.4,42.92,26.05,0.4753,0.3022,0.504
892,25-34,Corporate,30-60 miles,Club Level,Casual Fan,3,91.91,10.64,5.92,0.2932,0.3239,0.2004
893,65+,Student,<5 miles,Student Promo,Casual Fan,2,69.7,24.11,43.58,0.1802,0.5925,0.3263
894,35-44,Empty Nester,30-60 miles,Premium Courtside,Season Ticket Holder,41,143.67,9.04,52.18,0.2583,0.4826,0.5251
895,45-54,Student,<5 miles,Upper Bowl,Casual Fan,3,104.53,32.36,44.21,0.4897,0.5815,0.3704
896,18-24,Empty Nester,30-60 miles,Season Ticket,Repeat Buyer,12,116.45,19.42,56.8,0.4881,0.6029,0.4062
897,45-54,Couple,5-15 miles,Premium Courtside,Season Ticket Holder,39,132.64,42.42,24.69,0.2786,0.4602,0.5632
898,25-34,Family with Kids,5-15 miles,Corporate Partner Allocation,Repeat Buyer,8,106.42,32.34,46.83,0.4325,0.6665,0.4124
899,45-54,Student,5-15 miles,Season Ticket,Casual Fan,2,96.57,26.68,40.48,0.5054,0.3516,0.3096
900,35-44,Student,15-30 miles,Corporate Partner Allocation,Season Ticket Holder,38,157.4,12.03,10.36,0.33,0.636,0.4644
901,18-24,Corporate,15-30 miles,Premium Courtside,Premium Member,30,369.79,25.49,61.86,0.601,0.4828,0.7031
902,45-54,Single,5-15 miles,Family Pack,Casual Fan,2,83.85,29.04,35.06,0.362,0.0547,0.2749
903,18-24,Corporate,30-60 miles,Season Ticket,Casual Fan,6,77.45,38.62,27.26,0.1707,0.813,0.3921
904,55-64,Single,15-30 miles,Group Sales,Repeat Buyer,12,91.6,19.7,50.04,0.5786,0.6979,0.3801
905,35-44,Family with Kids,15-30 miles,Family Pack,Season Ticket Holder,39,199.47,19.64,46.05,0.3908,0.6018,0.5878
906,18-24,Empty Nester,30-60 miles,Group Sales,Season Ticket Holder,41,158.56,24.77,66.98,0.5933,0.2598,0.5778
907,65+,Couple,5-15 miles,Lower Bowl,Casual Fan,4,115.94,34.73,29.11,0.3471,0.7004,0.3827
908,35-44,Student,5-15 miles,Season Ticket,New Fan,3,42.77,42.06,43.77,0.2965,0.481,0.3534
909,45-54,Couple,15-30 miles,Corporate Partner Allocation,Repeat Buyer,14,99.03,37.46,18.67,0.5593,0.5198,0.3792
910,18-24,Corporate,5-15 miles,Lower Bowl,Repeat Buyer,10,128.41,18.35,46.02,0.2367,0.2354,0.3578
911,18-24,Couple,30-60 miles,Student Promo,Repeat Buyer,12,124.71,34.92,70.5,0.3674,0.3839,0.4741
912,45-54,Empty Nester,15-30 miles,Student Promo,Repeat Buyer,7,86.79,23.25,56.71,0.3158,0.4411,0.3638
913,35-44,Single,30-60 miles,Premium Courtside,Repeat Buyer,8,75.5,14.96,66.89,0.0966,0.7331,0.3915
914,55-64,Couple,<5 miles,Premium Courtside,Premium Member,21,397.06,15.76,68.06,0.1083,0.4267,0.6787
915,25-34,Family with Kids,30-60 miles,Season Ticket,Repeat Buyer,12,124.02,37.03,10.23,0.6202,0.6809,0.3847
916,65+,Single,60+ miles,Club Level,Casual Fan,6,75.42,40.44,60.32,0.4526,0.5405,0.4173
917,65+,Single,15-30 miles,Student Promo,Premium Member,23,370.95,38.72,22.91,0.087,0.8147,0.6999
918,45-54,Student,<5 miles,Premium Courtside,Premium Member,35,434.37,25.21,31.24,0.3019,0.9233,0.7784
919,45-54,Family with Kids,60+ miles,Lower Bowl,Premium Member,32,342.82,9.56,50.31,0.2427,0.424,0.6292
920,18-24,Family with Kids,5-15 miles,Group Sales,Premium Member,34,201.91,9.37,40.68,0.2229,0.56,0.5253
921,25-34,Couple,60+ miles,Student Promo,Premium Member,30,324.75,28.12,70.54,0.4619,0.2298,0.6748
922,35-44,Family with Kids,5-15 miles,Family Pack,Casual Fan,8,108.88,25.12,39.8,0.3562,0.5216,0.3664
923,25-34,Couple,30-60 miles,Season Ticket,Premium Member,22,269.54,17.52,41.11,0.5652,0.5577,0.53
924,45-54,Empty Nester,5-15 miles,Lower Bowl,Season Ticket Holder,41,271.03,39.86,62.93,0.2434,0.6982,0.7693
925,18-24,Empty Nester,15-30 miles,Corporate Partner Allocation,Repeat Buyer,14,156.13,12.35,63.76,0.216,0.5259,0.4422
926,18-24,Couple,30-60 miles,Lower Bowl,Corporate Guest,5,218.2,40.3,38.35,0.1909,0.521,0.4929
927,65+,Student,60+ miles,Upper Bowl,Repeat Buyer,5,123.25,36.19,21.67,0.4416,0.4769,0.3571
928,25-34,Family with Kids,15-30 miles,Season Ticket,Premium Member,39,322.03,11.5,25.28,0.4892,0.3359,0.5856
929,35-44,Student,5-15 miles,Season Ticket,New Fan,2,88.97,11.82,17.24,0.0883,0.6435,0.2606
930,45-54,Couple,15-30 miles,Club Level,Casual Fan,3,66.58,25.6,28.34,0.1947,0.2905,0.2742
931,65+,Single,30-60 miles,Family Pack,Casual Fan,3,75.91,35.08,58.92,0.2242,0.7688,0.4168
932,35-44,Couple,<5 miles,Family Pack,Repeat Buyer,10,82.31,26.63,51.49,0.3286,0.6653,0.3982
933,65+,Student,60+ miles,Group Sales,Casual Fan,3,103.61,37.66,14.09,0.2217,0.6449,0.3506
934,25-34,Couple,5-15 miles,Lower Bowl,Repeat Buyer,11,129.6,24.11,44.35,0.131,0.7093,0.4324
935,18-24,Student,<5 miles,Student Promo,Corporate Guest,10,202.52,8.16,28.78,0.5631,0.195,0.3288
936,35-44,Empty Nester,15-30 miles,Student Promo,Repeat Buyer,11,123.44,18.42,43.87,0.6428,0.7147,0.3826
937,55-64,Corporate,15-30 miles,Family Pack,Premium Member,34,364.14,15.93,79.31,0.4445,0.6491,0.7436
938,35-44,Single,5-15 miles,Lower Bowl,Repeat Buyer,7,82.72,11.09,68.76,0.1598,0.6934,0.3757
939,25-34,Couple,15-30 miles,Corporate Partner Allocation,Repeat Buyer,9,162.94,18.91,43.5,0.3791,0.6185,0.4081
940,35-44,Single,<5 miles,Lower Bowl,Casual Fan,2,79.46,28.6,45.58,0.5148,0.8002,0.3566
941,45-54,Corporate,5-15 miles,Lower Bowl,New Fan,1,83.14,29.15,47.33,0.1464,0.4078,0.3389
942,65+,Single,5-15 miles,Season Ticket,Casual Fan,6,97.38,30.21,6.4,0.124,0.1729,0.2788
943,45-54,Student,<5 miles,Family Pack,Corporate Guest,7,278.0,18.93,71.03,0.3358,0.6536,0.5452
944,35-44,Empty Nester,15-30 miles,Family Pack,Repeat Buyer,12,127.53,44.03,12.77,0.4069,0.4752,0.4056
945,45-54,Empty Nester,5-15 miles,Season Ticket,Casual Fan,4,67.16,12.08,78.31,0.2794,0.3771,0.3326
946,25-34,Family with Kids,15-30 miles,Club Level,New Fan,4,69.11,22.81,62.47,0.0765,0.4279,0.3554
947,35-44,Couple,30-60 miles,Season Ticket,Repeat Buyer,10,169.6,27.41,73.94,0.6658,0.1289,0.4403
948,25-34,Family with Kids,<5 miles,Season Ticket,Casual Fan,8,95.09,16.2,58.68,0.4805,0.6729,0.3703
949,25-34,Corporate,15-30 miles,Upper Bowl,Premium Member,38,417.84,13.76,24.97,0.1521,0.4671,0.6921
950,25-34,Couple,60+ miles,Student Promo,Season Ticket Holder,37,261.02,15.32,31.46,0.5348,0.577,0.5745
951,18-24,Couple,5-15 miles,Group Sales,Season Ticket Holder,41,233.7,44.63,54.69,0.1018,0.3959,0.7176
952,35-44,Corporate,30-60 miles,Upper Bowl,Season Ticket Holder,40,162.44,20.64,6.33,0.4689,0.3952,0.4682
953,35-44,Couple,<5 miles,Corporate Partner Allocation,Premium Member,34,317.78,27.98,51.76,0.1291,0.7581,0.7227
954,35-44,Family with Kids,5-15 miles,Premium Courtside,Casual Fan,3,99.0,34.89,27.94,0.2975,0.4708,0.3425
955,25-34,Empty Nester,30-60 miles,Season Ticket,Premium Member,35,327.85,31.43,55.61,0.4045,0.342,0.6987
956,55-64,Empty Nester,30-60 miles,Student Promo,Casual Fan,3,66.31,28.97,16.42,0.1985,0.3895,0.2726
957,25-34,Family with Kids,5-15 miles,Upper Bowl,Season Ticket Holder,39,276.39,39.6,7.24,0.2606,0.5955,0.6473
958,55-64,Empty Nester,5-15 miles,Lower Bowl,Repeat Buyer,10,86.62,25.35,35.96,0.225,0.1836,0.3252
959,55-64,Family with Kids,30-60 miles,Club Level,Premium Member,40,353.1,23.26,75.47,0.3058,0.5865,0.7822
960,25-34,Empty Nester,5-15 miles,Student Promo,Season Ticket Holder,38,230.56,24.35,73.07,0.4535,0.5852,0.6687
961,45-54,Student,30-60 miles,Group Sales,New Fan,1,88.98,36.22,60.75,0.0624,0.3864,0.3942
962,35-44,Couple,5-15 miles,Club Level,Casual Fan,2,101.6,38.19,28.93,0.3577,0.4066,0.3431
963,25-34,Single,<5 miles,Season Ticket,Casual Fan,2,57.87,15.01,34.26,0.2559,0.8145,0.2877
964,45-54,Family with Kids,60+ miles,Corporate Partner Allocation,Casual Fan,3,63.08,8.61,11.55,0.7536,0.4978,0.1762
965,55-64,Single,60+ miles,Student Promo,Season Ticket Holder,41,139.92,15.54,56.9,0.368,0.4405,0.543
966,55-64,Student,60+ miles,Lower Bowl,Premium Member,29,412.87,43.24,47.39,0.3299,0.6774,0.7968
967,35-44,Couple,30-60 miles,Upper Bowl,Repeat Buyer,5,175.32,18.02,79.39,0.2959,0.5887,0.4638
968,45-54,Single,5-15 miles,Group Sales,Repeat Buyer,14,137.94,10.81,66.56,0.1747,0.1764,0.3953
969,45-54,Student,5-15 miles,Season Ticket,Repeat Buyer,13,85.51,23.89,37.61,0.5465,0.3817,0.3409
970,35-44,Corporate,5-15 miles,Lower Bowl,Premium Member,27,440.47,20.06,76.98,0.27,0.4027,0.7623
971,55-64,Empty Nester,15-30 miles,Season Ticket,Repeat Buyer,15,100.76,31.25,36.3,0.3236,0.3201,0.3896
972,55-64,Family with Kids,15-30 miles,Premium Courtside,Corporate Guest,8,211.31,11.25,55.48,0.2523,0.6825,0.4505
973,45-54,Corporate,30-60 miles,Season Ticket,Repeat Buyer,7,104.34,16.31,74.78,0.3174,0.6622,0.4102
974,35-44,Empty Nester,30-60 miles,Premium Courtside,Casual Fan,4,102.6,12.35,43.44,0.3991,0.2526,0.2772
975,45-54,Empty Nester,60+ miles,Lower Bowl,Casual Fan,8,86.68,14.9,79.42,0.3313,0.7849,0.4169
976,55-64,Student,30-60 miles,Club Level,New Fan,1,60.73,16.08,35.45,0.2507,0.5587,0.2655
977,25-34,Family with Kids,60+ miles,Upper Bowl,Repeat Buyer,7,150.55,22.33,29.14,0.3855,0.4761,0.3587
978,18-24,Corporate,5-15 miles,Student Promo,Premium Member,38,244.85,22.92,43.96,0.3218,0.101,0.5786
979,18-24,Student,5-15 miles,Group Sales,Casual Fan,8,100.73,30.32,73.31,0.3545,0.2556,0.4137
980,45-54,Family with Kids,5-15 miles,Lower Bowl,Casual Fan,6,65.08,30.14,61.23,0.2357,0.6816,0.4015
981,18-24,Corporate,30-60 miles,Family Pack,Premium Member,29,235.34,37.51,31.87,0.165,0.6313,0.6142
982,35-44,Empty Nester,30-60 miles,Premium Courtside,Repeat Buyer,10,95.03,36.11,5.33,0.4258,0.5134,0.3331
983,55-64,Couple,5-15 miles,Corporate Partner Allocation,Repeat Buyer,5,122.37,26.36,10.42,0.2693,0.3856,0.3021
984,35-44,Couple,30-60 miles,Season Ticket,Casual Fan,5,62.46,41.83,15.54,0.2708,0.1198,0.29
985,25-34,Couple,5-15 miles,Club Level,Repeat Buyer,7,145.87,33.61,58.91,0.1882,0.5946,0.4701
986,18-24,Couple,<5 miles,Corporate Partner Allocation,Season Ticket Holder,39,264.16,28.88,53.43,0.335,0.6749,0.6929
987,55-64,Family with Kids,60+ miles,Club Level,Season Ticket Holder,41,141.93,36.19,55.79,0.5109,0.4133,0.6014
988,18-24,Corporate,15-30 miles,Season Ticket,Premium Member,27,383.0,35.95,20.93,0.2157,0.4072,0.6686
989,35-44,Student,30-60 miles,Corporate Partner Allocation,Casual Fan,4,69.42,20.51,35.83,0.2319,0.6358,0.311
990,35-44,Student,5-15 miles,Family Pack,Repeat Buyer,15,77.11,18.18,43.7,0.375,0.6016,0.3671
991,55-64,Single,5-15 miles,Corporate Partner Allocation,Premium Member,40,218.71,40.12,17.76,0.3433,0.6171,0.6268
992,55-64,Couple,5-15 miles,Lower Bowl,Season Ticket Holder,39,152.59,25.24,58.98,0.3133,0.2013,0.5581
993,45-54,Family with Kids,15-30 miles,Club Level,Casual Fan,3,108.03,28.96,36.33,0.6312,0.6191,0.3437
994,35-44,Corporate,5-15 miles,Upper Bowl,Casual Fan,6,113.99,11.71,79.85,0.3416,0.5522,0.3948
995,18-24,Family with Kids,15-30 miles,Premium Courtside,Casual Fan,7,71.56,11.97,47.66,0.3273,0.4208,0.2948
996,35-44,Corporate,<5 miles,Upper Bowl,Casual Fan,2,69.61,33.66,12.07,0.2459,0.7158,0.308
997,45-54,Family with Kids,15-30 miles,Season Ticket,New Fan,4,63.35,29.18,10.04,0.5392,0.5331,0.2612
998,35-44,Student,5-15 miles,Corporate Partner Allocation,Season Ticket Holder,37,146.23,22.1,24.55,0.4574,0.8703,0.5281
999,45-54,Corporate,5-15 miles,Lower Bowl,Corporate Guest,4,171.43,23.08,57.36,0.4284,0.3283,0.3987
1000,65+,Family with Kids,30-60 miles,Corporate Partner Allocation,Premium Member,29,285.31,43.64,74.1,0.1896,0.7004,0.7583
1001,45-54,Couple,5-15 miles,Corporate Partner Allocation,Repeat Buyer,13,104.71,11.42,10.16,0.7261,0.4635,0.262
1002,35-44,Single,<5 miles,Upper Bowl,Season Ticket Holder,40,163.39,32.63,18.48,0.2098,0.2321,0.5283
1003,18-24,Corporate,<5 miles,Season Ticket,Casual Fan,8,79.65,42.81,39.77,0.3485,0.4646,0.3973
1004,35-44,Single,15-30 miles,Season Ticket,Casual Fan,6,100.83,44.66,11.54,0.1974,0.3965,0.358
1005,65+,Family with Kids,60+ miles,Season Ticket,Casual Fan,3,62.15,24.14,71.98,0.3703,0.7312,0.383
1006,45-54,Empty Nester,<5 miles,Upper Bowl,Season Ticket Holder,39,224.76,18.22,15.78,0.349,0.5989,0.5478
1007,35-44,Corporate,15-30 miles,Club Level,Casual Fan,5,106.86,28.19,31.89,0.4577,0.5011,0.3385
1008,25-34,Family with Kids,30-60 miles,Group Sales,Repeat Buyer,7,107.85,26.19,67.94,0.4265,0.8487,0.4463
1009,35-44,Single,15-30 miles,Corporate Partner Allocation,Season Ticket Holder,37,251.9,21.9,16.43,0.2293,0.6825,0.587
1010,45-54,Family with Kids,60+ miles,Group Sales,Casual Fan,8,109.88,33.11,51.36,0.0997,0.6111,0.4373
1011,35-44,Family with Kids,5-15 miles,Upper Bowl,Season Ticket Holder,36,215.88,12.68,58.36,0.4754,0.4223,0.5637
1012,65+,Couple,5-15 miles,Club Level,New Fan,4,89.31,8.89,51.05,0.1266,0.1993,0.2779
1013,25-34,Student,60+ miles,Family Pack,Corporate Guest,5,314.37,36.11,69.44,0.4793,0.7729,0.6228
1014,18-24,Family with Kids,<5 miles,Group Sales,New Fan,4,60.2,28.2,46.32,0.3234,0.5489,0.3359
1015,45-54,Family with Kids,<5 miles,Lower Bowl,Corporate Guest,7,191.39,37.46,18.17,0.2364,0.6995,0.4501
1016,45-54,Empty Nester,30-60 miles,Corporate Partner Allocation,Casual Fan,4,114.6,37.48,71.56,0.1648,0.5038,0.4599
1017,45-54,Student,15-30 miles,Group Sales,Casual Fan,3,82.58,39.16,51.69,0.323,0.2911,0.3693
1018,45-54,Single,5-15 miles,Upper Bowl,Season Ticket Holder,38,157.16,21.62,78.59,0.5054,0.3451,0.5863
1019,25-34,Couple,15-30 miles,Corporate Partner Allocation,Casual Fan,4,118.08,13.99,8.66,0.3205,0.6336,0.2716
1020,35-44,Couple,60+ miles,Lower Bowl,Corporate Guest,6,371.94,12.04,40.24,0.4656,0.7253,0.5334
1021,35-44,Single,15-30 miles,Group Sales,Season Ticket Holder,40,252.22,43.32,79.95,0.1423,0.4492,0.7734
1022,25-34,Student,30-60 miles,Corporate Partner Allocation,Casual Fan,4,69.05,19.41,79.14,0.0714,0.6027,0.393
1023,25-34,Couple,15-30 miles,Student Promo,Casual Fan,2,71.78,33.9,28.21,0.1908,0.3259,0.3045
1024,35-44,Couple,30-60 miles,Premium Courtside,Casual Fan,5,60.59,36.2,57.52,0.4448,0.6104,0.3888
1025,55-64,Couple,<5 miles,Family Pack,Repeat Buyer,8,98.97,43.12,72.06,0.3051,0.2704,0.4566
1026,18-24,Couple,60+ miles,Family Pack,Corporate Guest,12,352.24,24.65,68.3,0.3225,0.4125,0.6179
1027,45-54,Couple,5-15 miles,Family Pack,Season Ticket Holder,35,151.76,41.25,64.36,0.0943,0.6167,0.6539
1028,35-44,Empty Nester,<5 miles,Upper Bowl,New Fan,1,41.27,43.47,32.98,0.4154,0.5046,0.3234
1029,55-64,Corporate,30-60 miles,Season Ticket,Corporate Guest,4,167.19,15.88,32.72,0.264,0.6756,0.3682
1030,65+,Empty Nester,5-15 miles,Lower Bowl,Season Ticket Holder,37,183.07,32.28,47.39,0.0842,0.4312,0.6082
1031,35-44,Student,30-60 miles,Student Promo,Repeat Buyer,9,168.43,29.76,76.79,0.3839,0.7673,0.5256
1032,25-34,Single,5-15 miles,Student Promo,Season Ticket Holder,37,257.72,19.37,60.08,0.4316,0.5351,0.6401
1033,45-54,Empty Nester,5-15 miles,Student Promo,Casual Fan,6,115.16,16.35,63.23,0.1935,0.6742,0.3996
1034,55-64,Corporate,30-60 miles,Club Level,New Fan,2,58.59,25.63,65.54,0.4715,0.1901,0.3091
1035,25-34,Couple,5-15 miles,Premium Courtside,Casual Fan,5,75.59,43.14,7.67,0.6153,0.5032,0.3109
1036,65+,Corporate,60+ miles,Season Ticket,Season Ticket Holder,41,186.61,19.32,63.18,0.4677,0.3184,0.5865
1037,35-44,Couple,60+ miles,Upper Bowl,Repeat Buyer,8,131.24,15.9,11.58,0.5819,0.583,0.295
1038,25-34,Single,5-15 miles,Group Sales,Casual Fan,3,96.79,12.36,52.52,0.5419,0.3241,0.2849
1039,35-44,Student,30-60 miles,Season Ticket,Season Ticket Holder,41,194.55,17.36,59.44,0.191,0.4923,0.6103
1040,25-34,Student,<5 miles,Student Promo,Season Ticket Holder,39,232.72,14.02,79.88,0.147,0.7464,0.685
1041,18-24,Couple,30-60 miles,Corporate Partner Allocation,Casual Fan,2,96.62,39.25,23.95,0.3898,0.7014,0.3613
1042,65+,Family with Kids,<5 miles,Student Promo,Corporate Guest,10,188.21,29.85,64.52,0.5977,0.6558,0.5013
1043,25-34,Single,15-30 miles,Season Ticket,Casual Fan,2,113.09,8.77,43.66,0.1649,0.3953,0.2901
1044,35-44,Single,30-60 miles,Lower Bowl,Corporate Guest,7,272.4,13.89,47.66,0.2517,0.3263,0.4517
1045,18-24,Couple,<5 miles,Lower Bowl,Repeat Buyer,15,141.04,32.29,64.86,0.5076,0.3227,0.469
1046,18-24,Family with Kids,15-30 miles,Season Ticket,Premium Member,35,290.19,43.59,45.22,0.5007,0.3446,0.6859
1047,35-44,Couple,15-30 miles,Season Ticket,Repeat Buyer,11,83.86,27.83,48.75,0.1329,0.6326,0.4097
1048,45-54,Corporate,15-30 miles,Upper Bowl,Casual Fan,7,116.51,29.15,51.09,0.3663,0.4225,0.3917
1049,45-54,Family with Kids,<5 miles,Student Promo,Casual Fan,6,99.85,13.97,7.99,0.398,0.6365,0.2622
1050,55-64,Single,30-60 miles,Student Promo,Repeat Buyer,6,155.38,25.94,77.82,0.273,0.2244,0.4413
1051,25-34,Corporate,30-60 miles,Student Promo,Casual Fan,6,90.24,8.84,73.5,0.0957,0.4584,0.3578
1052,35-44,Couple,60+ miles,Season Ticket,Season Ticket Holder,40,148.59,20.87,35.27,0.5762,0.5795,0.5255
1053,45-54,Single,30-60 miles,Family Pack,Repeat Buyer,8,97.79,23.57,22.04,0.8013,0.1422,0.2591
1054,18-24,Single,<5 miles,Club Level,Casual Fan,3,91.33,18.54,65.54,0.3226,0.4794,0.3522
1055,55-64,Student,15-30 miles,Student Promo,Repeat Buyer,7,88.03,17.12,10.45,0.1895,0.6194,0.2817
1056,45-54,Corporate,30-60 miles,Family Pack,New Fan,2,70.4,31.11,56.78,0.4707,0.5176,0.3529
1057,25-34,Family with Kids,5-15 miles,Group Sales,Repeat Buyer,14,103.32,22.88,5.17,0.3543,0.5766,0.3246
1058,25-34,Couple,<5 miles,Season Ticket,Casual Fan,5,94.25,29.87,77.25,0.1028,0.4382,0.4308
1059,25-34,Student,15-30 miles,Club Level,Casual Fan,8,72.57,29.87,56.74,0.4913,0.3573,0.3626
1060,18-24,Couple,<5 miles,Premium Courtside,Corporate Guest,4,274.23,10.28,44.18,0.3966,0.7091,0.451
1061,65+,Family with Kids,<5 miles,Family Pack,Corporate Guest,11,220.2,10.38,79.32,0.1361,0.515,0.5029
1062,45-54,Empty Nester,60+ miles,Student Promo,Repeat Buyer,12,151.85,35.66,35.22,0.2111,0.2307,0.4241
1063,35-44,Corporate,30-60 miles,Family Pack,Casual Fan,5,87.7,34.34,17.62,0.0567,0.4247,0.3297
1064,35-44,Family with Kids,30-60 miles,Season Ticket,Premium Member,41,206.08,16.78,63.58,0.283,0.5617,0.6275
1065,18-24,Empty Nester,30-60 miles,Family Pack,New Fan,3,40.24,21.06,68.44,0.1567,0.7595,0.3626
1066,18-24,Empty Nester,5-15 miles,Premium Courtside,Repeat Buyer,10,92.87,9.6,16.75,0.3563,0.5552,0.2721
1067,35-44,Single,5-15 miles,Upper Bowl,Repeat Buyer,13,173.95,14.39,9.05,0.5037,0.55,0.3435
1068,45-54,Couple,<5 miles,Season Ticket,Casual Fan,7,78.67,30.97,47.6,0.3972,0.3695,0.3549
1069,18-24,Family with Kids,<5 miles,Club Level,Premium Member,31,339.3,28.94,53.36,0.5672,0.348,0.6681
1070,65+,Single,<5 miles,Lower Bowl,Corporate Guest,7,290.0,37.04,48.44,0.0819,0.4522,0.5651
1071,45-54,Single,5-15 miles,Lower Bowl,Premium Member,27,260.02,10.44,12.65,0.2021,0.419,0.4743
1072,25-34,Empty Nester,15-30 miles,Family Pack,Corporate Guest,7,369.9,42.88,28.47,0.1999,0.8153,0.6397
1073,45-54,Family with Kids,60+ miles,Family Pack,Corporate Guest,9,227.4,20.79,71.79,0.399,0.5783,0.5126
1074,45-54,Student,60+ miles,Upper Bowl,Casual Fan,8,110.34,13.41,29.23,0.3383,0.3197,0.2894
1075,65+,Family with Kids,60+ miles,Student Promo,Repeat Buyer,15,168.88,34.89,70.24,0.5549,0.2565,0.5004
1076,35-44,Couple,5-15 miles,Family Pack,Premium Member,33,425.91,23.54,77.4,0.1807,0.4346,0.8003
1077,18-24,Couple,15-30 miles,Club Level,Season Ticket Holder,37,189.63,14.24,17.08,0.3958,0.3128,0.469
1078,45-54,Family with Kids,5-15 miles,Corporate Partner Allocation,Repeat Buyer,7,147.83,30.82,36.18,0.1314,0.7968,0.4428
1079,25-34,Corporate,5-15 miles,Student Promo,Corporate Guest,6,372.35,39.95,16.97,0.4912,0.309,0.5402
1080,35-44,Couple,30-60 miles,Lower Bowl,Casual Fan,5,68.31,16.01,19.53,0.1283,0.5209,0.2632
1081,35-44,Family with Kids,60+ miles,Upper Bowl,Casual Fan,4,84.73,9.61,63.03,0.1243,0.1567,0.2951
1082,35-44,Student,5-15 miles,Family Pack,Casual Fan,8,107.2,40.13,47.17,0.1903,0.6958,0.4547
1083,35-44,Student,30-60 miles,Club Level,Season Ticket Holder,37,217.27,31.51,37.03,0.785,0.5642,0.5911
1084,25-34,Corporate,30-60 miles,Upper Bowl,Repeat Buyer,13,129.19,28.12,44.42,0.5255,0.3098,0.3956
1085,18-24,Single,15-30 miles,Family Pack,Casual Fan,7,100.98,19.06,8.5,0.1827,0.6371,0.2967
1086,35-44,Family with Kids,15-30 miles,Lower Bowl,Repeat Buyer,10,81.49,40.86,14.38,0.241,0.3749,0.3508
1087,45-54,Family with Kids,30-60 miles,Group Sales,Casual Fan,7,78.86,26.09,5.31,0.4071,0.1392,0.236
1088,25-34,Corporate,30-60 miles,Lower Bowl,Casual Fan,2,90.01,32.82,8.49,0.4575,0.3183,0.264
1089,25-34,Family with Kids,15-30 miles,Club Level,Repeat Buyer,15,165.66,35.82,76.95,0.3458,0.4176,0.5402
